debit_memo,product,ndc,manufacturer,ask_price,received_price,Percentage Returned,Full/partial,Ask Date,Receive Date,Method,Confidence,Pharmacy Name,Status
DEL0918AKE00603,Nystatin,00603-1481-58,Qualitest Pharmaceuticals,39.46,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00781,Glipizide,00781-1452-10,Sandoz Inc,41.98,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00781,Glipizide,00781-1453-01,Sandoz Inc,6.24,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00781,Amoxicillin,00781-2020-01,Sandoz Inc,8.93,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE00781,Amoxicillin,00781-2020-01,Sandoz Inc,8.93,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE13668,Amlodipine; Valsartan and,13668-0328-30,Torrent Pharmaceuticals Limited,35.91,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE16571,Diclofenac Sodium,16571-0202-10,Rising Pharmaceuticals; Inc.,39.54,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE27241,Omeprazole and Sodium,27241-0031-03,Ajanta Pharma Limited,189,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE42192,NP Thyroid 30,42192-0329-01,Acella Pharmaceuticals; LLC,34.17,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE42192,NP Thyroid 30,42192-0329-01,Acella Pharmaceuticals; LLC,34.17,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE43547,Metformin Hydrochloride,43547-0358-10,Solco healthcare U.S.; LLC,8.55,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE43547,VALSARTAN AND HYDR,43547-0315-09,Solco healthcare U.S.; LLC,16.94,,,Partial,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE43598,amoxicillin and clavulanate,43598-0204-51,Dr. Reddy's Laboratories Inc,47.81,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
DEL0918AKE45802,Ciclopirox Olamine,45802-0400-49,Perrigo New York Inc,57,,,Full,09/10/2018,,,,Woodside Pharmacy,UNMATCHED
